           1   1.5900340      -2.6811290      0.99981499    
           2   1.0428414      -7.4303079      0.86383915    
           3   3.7766500     -0.59816366     -0.59322363    
           4   3.7379503     -0.56847239     -0.56163257    
           5   2.7436137      2.67333016E-02  0.38755602    
           6   2.0652828     -0.72336823      0.88021255    
           7   8.2041960      0.94884896      0.93929917    
           8   4.0941277     -0.81324017     -0.81488746    
           9   4.5638580     -0.98839527     -0.98898953    
          10   6.2954574      9.81678907E-03  1.22717479E-02
